timestamp,Voltage_V,Current_A,Power_kW,PowerFactor,Frequency_Hz,Energy_kWh
2026-06-02 00:00:00,229.4,11.80,2.595,0.958,50.015,4820.65
2026-06-02 00:15:00,230.0,12.22,2.586,0.920,49.982,4821.30
2026-06-02 00:30:00,229.5,10.71,2.335,0.950,49.996,4821.88
2026-06-02 00:45:00,229.9,11.94,2.537,0.924,50.012,4822.51
2026-06-02 01:00:00,230.6,11.65,2.473,0.921,49.978,4823.13
2026-06-02 01:15:00,230.4,11.66,2.547,0.948,49.989,4823.77
2026-06-02 01:30:00,230.9,10.78,2.330,0.936,50.019,4824.35
2026-06-02 01:45:00,229.9,11.89,2.616,0.957,49.987,4825.00
2026-06-02 02:00:00,230.0,11.77,2.533,0.935,50.005,4825.64
2026-06-02 02:15:00,229.2,11.40,2.452,0.939,49.991,4826.25
2026-06-02 02:30:00,230.0,11.62,2.552,0.955,49.990,4826.89
2026-06-02 02:45:00,230.0,12.04,2.568,0.928,50.011,4827.53
2026-06-02 03:00:00,230.5,11.46,2.457,0.930,50.009,4828.14
2026-06-02 03:15:00,229.7,11.24,2.383,0.923,50.007,4828.74
2026-06-02 03:30:00,230.6,11.38,2.485,0.947,50.012,4829.36
2026-06-02 03:45:00,230.7,11.48,2.481,0.936,50.022,4829.98
2026-06-02 04:00:00,230.0,13.00,2.755,0.921,50.024,4830.67
2026-06-02 04:15:00,229.9,12.69,2.742,0.939,49.988,4831.36
2026-06-02 04:30:00,230.3,12.34,2.705,0.952,50.017,4832.03
2026-06-02 04:45:00,229.3,11.51,2.479,0.939,49.993,4832.65
2026-06-02 05:00:00,230.8,12.78,2.752,0.933,50.008,4833.34
2026-06-02 05:15:00,229.4,12.60,2.769,0.958,49.979,4834.03
2026-06-02 05:30:00,229.9,12.12,2.604,0.935,50.003,4834.68
2026-06-02 05:45:00,231.0,11.83,2.558,0.936,49.997,4835.32
2026-06-02 06:00:00,230.2,12.51,2.743,0.953,50.003,4836.01
2026-06-02 06:15:00,230.0,13.32,2.885,0.941,49.989,4836.73
2026-06-02 06:30:00,230.3,12.52,2.660,0.923,50.025,4837.39
2026-06-02 06:45:00,230.6,13.56,2.961,0.947,49.975,4838.14
2026-06-02 07:00:00,230.8,14.05,2.988,0.921,50.021,4838.88
2026-06-02 07:15:00,229.9,13.36,2.832,0.922,50.014,4839.59
2026-06-02 07:30:00,230.9,13.00,2.774,0.924,49.996,4840.28
2026-06-02 07:45:00,230.5,13.09,2.797,0.928,50.013,4840.98
2026-06-02 08:00:00,229.2,14.29,3.101,0.947,50.010,4841.76
2026-06-02 08:15:00,230.0,13.27,2.893,0.948,50.023,4842.48
2026-06-02 08:30:00,229.8,14.31,3.131,0.952,50.011,4843.26
2026-06-02 08:45:00,229.7,13.53,2.978,0.959,50.003,4844.01
2026-06-02 09:00:00,230.4,56.00,12.322,0.955,49.985,4847.09
2026-06-02 09:15:00,229.7,13.29,2.898,0.949,49.988,4847.81
